alias,symbol
 AUNA2,TMEM43
 DYT32,VPS11
 GAMOS7,NUP107
 NEDHYDF,GNB2
 UBC13,UBE2N
'C-K-RAS,KRAS
(FM-3),NMUR1
(IV)-44,IGHVIV-44-1
(P)RR,ATP6AP2
(ppGpp)ase,HDDC3
0610011B16Rik,CORO7
0610037N12Rik,POP7
0710008D09Rik,UQCR11
0808y08y,NFYC-AS1
1-12P,IGHV1-12
1-14P,IGHV1-14
1-17P,IGHV1-17
1-67P,IGHV1-67
1-68P,IGHV1-68
1-8D,IFITM2
1-8U,IFITM3
1-AGPAT 3,AGPAT3
1-AGPAT 6,GPAT4
1-AGPAT1,AGPAT1
1-AGPAT2,AGPAT2
1-AGPAT4,AGPAT4
1-Cys,PRDX6
1/2-SBSRNA4,SEC24B-AS1
10-fTHF,ALDH1L1
10-FTHFDH,ALDH1L1
101F10.1,KNOP1
101F6,CYB561D2
103AS,KIR2DL4
104p,TUBGCP3
105A,SNORA73B
105B,RNU105B
10C,ARHGAP9
10q23del,BMPR1A
10q23del,PTEN
11-beta-HSD1,HSD11B1
11-beta-HSD3,HSD11B1L
11-DH,HSD11B1
11-DH3,HSD11B1L
1110001C14Rik,PNPLA2
1110008L20Rik,MICU2
1110019O13Rik,LETMD1
1110035O14Rik,NAMPT
1110046B12Rik,FCSK
115HG,SNHG14
1190004M21Rik,PYGO2
11B6,MAGED2
11orf9,MYRF
12-HETER,GPR31
12-LOX,ALOX12
12-LOX,ALOX15
1200006M05Rik,DCAF6
123F2,RASSF1
12CC4,FOXP1
12R-LOX,ALOX12B
12S,MT-RNR1
12S-LOX,ALOX12
133K02,FAM114A2
13CDNA73,FRY
13K18,IGKV3-20
14-3-3,YWHAQ
14-3-3-zeta,YWHAZ
14-3-3E,YWHAE
14-3-3GAMMA,YWHAG
14-3-3γ,YWHAG
14.1,IGLL1
14q(0),SNORD112
14q(I-1),SNORD113-1
14q(I-2),SNORD113-2
14q(I-3),SNORD113-3
14q(I-4),SNORD113-4
14q(I-5),SNORD113-5
14q(I-6),SNORD113-6
14q(I-7),SNORD113-7
14q(I-8),SNORD113-8
14q(I-9),SNORD113-9
14q(II-1),SNORD114-1
14q(II-10),SNORD114-10
14q(II-11),SNORD114-11
14q(II-12),SNORD114-12
14q(II-13),SNORD114-13
14q(II-14),SNORD114-14
14q(II-15),SNORD114-15
14q(II-16),SNORD114-16
14q(II-17),SNORD114-17
14q(II-18),SNORD114-18
14q(II-19),SNORD114-19
14q(II-2),SNORD114-2
14q(II-20),SNORD114-20
14q(II-21),SNORD114-21
14q(II-22),SNORD114-22
14q(II-23),SNORD114-23
14q(II-24),SNORD114-24
14q(II-25),SNORD114-25
14q(II-26),SNORD114-26
14q(II-27),SNORD114-27
